Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
Lactobacillus,TreatmentGroupGrp1...TreatmentGroupGrp2,0.321955302385508,0.211575140118327,0.432335464652689,11.9830090902614,1.26467374001631,0.207364698309999,0.645902634365589,-7.40455333116297
Streptococcus,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.250354093719269,-0.345688159602455,-0.155020027836082,10.981401733203,-0.821412034381524,0.412326334184174,0.789002154832514,-7.86625988017636
Clostridium,TreatmentGroupGrp1...TreatmentGroupGrp2,0.236597324657325,0.118006355024609,0.355188294290041,10.5917003682467,1.32193517337744,0.187601925811194,0.617957738204565,-7.33078277603756
Prevotella,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0815534354428653,-0.0834937778013314,0.246600648687062,9.81296537429178,0.496368262163956,0.620144386171391,0.897661667418485,-8.08080945786926
Lachnoclostridium,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0567772968727276,-0.149071098985675,0.262625692731131,9.5536042137775,0.231852722740894,0.816874098332255,0.95544521431093,-8.17743392705576
Oscillibacter,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0623434571077848,-0.439455509090366,0.564142423305936,9.2744508457018,0.715920873317461,0.474821153829013,0.838090957887918,-7.94744134791244
Eubacterium,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0132100280181788,-0.144734561731363,0.118314505695006,9.1822887262213,-0.0727675294493329,0.942059118581185,0.98927533316102,-8.20175630922552
Methanobrevibacter,TreatmentGroupGrp1...TreatmentGroupGrp2,0.245357926965148,0.0846188014141256,0.406097052516171,8.90293242974597,0.926709552216944,0.355121947610135,0.76050965039313,-7.77419118765157
Roseburia,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0568791829171396,-0.592031509226412,0.478273143392132,8.77888773468529,-0.438553936115577,0.66142746436476,0.917220930642441,-8.10791405592947
Blautia,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0318155228463564,-0.366494838271723,0.430125883964435,8.7733554928367,0.211145528229001,0.832974770788896,0.958570955146341,-8.18203756261243
Clostridioides,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0102444532300154,-0.363031273797883,0.342542367337852,8.7531746073014,-0.111833266516496,0.911060499848871,0.983714157859737,-8.19813647173471
Treponema,TreatmentGroupGrp1...TreatmentGroupGrp2,0.180634777529495,0.0798306113229252,0.281438943736064,8.27727035821299,0.698892717082382,0.485378410441921,0.842465746624552,-7.95950638085503
Megasphaera,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.056015709596215,-0.209553818487499,0.0975223992950693,8.19610506016062,-0.143530425326285,0.886006430621288,0.976856983381987,-8.19407369071604
Flavonifractor,TreatmentGroupGrp1...TreatmentGroupGrp2,0.050260330224706,-0.0662707084110255,0.166791368860437,8.18340950295992,0.432166179865153,0.666056049538883,0.917360748843898,-8.11070351156521
Bacillus,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0247736160054881,-0.10531031795103,0.0557630859400536,8.1433663606006,-0.479601233576502,0.632001054257717,0.899828251889535,-8.08901460033252
Paenibacillus,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0152919109827536,-0.153230503004562,0.122646681039054,8.07676320028111,-0.299577809364095,0.764790157826061,0.943783599019394,-8.159373506649
Collinsella,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.302747527196476,-0.437851437159988,-0.167643617232964,8.07019059278251,-1.0705592766589,0.285574334616822,0.737843365323341,-7.63064528095706
Streptomyces,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0122015030782183,-0.0859975242620265,0.110400530418463,8.06621863176462,0.192974492798366,0.847162077873192,0.963467949551661,-8.18572296134257
Pseudomonas,TreatmentGroupGrp1...TreatmentGroupGrp2,0.00472424037699781,-0.0741513433613421,0.0835998241153378,8.03411845800392,0.0985922336948676,0.921554381617816,0.986439511539298,-8.19953501277635
Ruminococcus,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0140746944220522,-0.102510596489699,0.130659985333803,7.82158375505902,0.153945361693187,0.877797984845145,0.975846801394272,-8.19251865344692
Homo,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.13272654688611,-0.242900607789618,-0.0225524859826016,7.65094080899937,-1.10663401728093,0.269695381526832,0.715229341506934,-7.59143720262402
Desulfovibrio,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.147340921569702,-0.166944013236958,-0.127737829902447,7.47212373836467,-0.92640085126434,0.355281922459601,0.76050965039313,-7.7744771940153
Olsenella,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0793002963770544,-0.061943474694986,0.220544067449095,7.410070573243,0.497877803850361,0.619081727489959,0.897661667418485,-8.08005694377706
Bifidobacterium,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0340473408645385,-0.116291913773927,0.0481972320448499,7.18340463139477,-0.306638365896394,0.759416979808829,0.943268097594781,-8.15722588716948
Enterococcus,TreatmentGroupGrp1...TreatmentGroupGrp2,0.169237451457753,0.0784909123866429,0.259983990528863,6.9143710982684,0.623349678927776,0.533718965491673,0.856598568661255,-8.00954356847685
Parabacteroides,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0393524821516307,-0.071091383516308,0.149796347819569,6.88974936448341,0.154066713458409,0.877702418620761,0.975846801394272,-8.19249989299854
Anaerostipes,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0423679762971334,-0.135155485769681,0.0504195331754146,6.68750865238286,-0.306138890382003,0.759796706646748,0.943268097594781,-8.15737945621457
