Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
Clostridia,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0700402752651694,-0.0258160254410836,0.165896575971422,13.4405889658564,0.775924647792684,0.438645243509028,0.844195721086981,-5.4591423310525
Actinobacteria,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0213329345524915,-0.07890246412803,0.121568333233013,10.6075495889267,0.263636618294909,0.792312171492989,0.984730841712715,-5.69859479826579
Alphaproteobacteria,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0262074628737938,-0.151712751532782,0.20412767728037,9.8438305763503,0.524234465304054,0.600654920629848,0.844387794229808,-5.60620060599046
Coriobacteriia,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0471928899316936,-0.137017761629592,0.0426319817662047,9.77068662411836,-0.283874255356887,0.776779637231697,0.979417803466053,-5.6936060991614
Negativicutes,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.156240273368411,-0.315128747638727,0.00264820090190551,9.56151162388062,-0.60443909982406,0.546188376722307,0.844387794229808,-5.56549469329351
Methanobacteria,TreatmentGroupGrp1...TreatmentGroupGrp2,0.235233459361714,0.105703948200363,0.364762970523065,9.10301400318682,1.00752635530138,0.314813235142721,0.844195721086981,-5.27387118334644
Deltaproteobacteria,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0522767505898063,-0.521365818580828,0.416812317401215,8.92264838621752,-0.5605998481824,0.575653444799146,0.844387794229808,-5.58845879157955
Flavobacteriia,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0312764505859846,-0.0979153883151963,0.160468289487165,8.83528070386066,0.52228116702013,0.602011706203716,0.844387794229808,-5.60712001102183
Erysipelotrichia,TreatmentGroupGrp1...TreatmentGroupGrp2,0.211080874116499,0.131768780709124,0.290392967523875,8.77099505147641,0.886932499434933,0.376105211501113,0.844195721086981,-5.37629722099569
Spirochaetia,TreatmentGroupGrp1...TreatmentGroupGrp2,0.140768891787006,0.0318352441884844,0.249702539385529,8.70056809876963,0.675823283295323,0.499878343916182,0.844195721086981,-5.52441866241812
Mammalia,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.13272654688611,-0.2414014211818,-0.024051672590419,7.65094080899937,-1.10895217140112,0.268688385254976,0.844195721086981,-5.17773846498767
Cytophagia,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0466329223469231,-0.0862870787111965,0.179552923405043,7.50083668018215,0.841979685758316,0.400733896253969,0.844195721086981,-5.41116862465964
Epsilonproteobacteria,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0905679773574573,-0.204480308431926,0.0233443537170118,7.24061328200983,-1.25837568525663,0.209619243506255,0.844195721086981,-5.01955651539444
Fusobacteriia,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0590992620851152,-0.0211545284283408,0.139353052598571,6.70195294504917,0.830827679492267,0.406991667937596,0.844195721086981,-5.41954093847007
Mollicutes,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0841961880017124,-0.0434220666938255,0.21181444269725,6.59524172236462,0.933027507460648,0.351851250890146,0.844195721086981,-5.3386722603187
Sphingobacteriia,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0295974951636095,-0.0794496988413109,0.13864468916853,6.43764222664449,0.53885014528165,0.590547157340393,0.844387794229808,-5.59921249336639
Synergistia,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.161722369936676,-0.306442072256115,-0.0170026676172375,6.40572315175574,-0.44120121208327,0.659510214964599,0.882729056952617,-5.64226302516756
Tissierellia,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0380808410869138,-0.0397238232664328,0.11588550544026,6.24169430609571,0.7084066570069,0.47945927095657,0.844195721086981,-5.50415396519856
Chitinophagia,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0215855619697471,-0.0983817520618773,0.141552876001372,6.22279155318587,0.406872216484215,0.684506159417112,0.890074006501142,-5.65536375663286
Deinococci,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0268909910924569,-0.0951015138983594,0.148883496083273,6.12657263784167,0.490230896587215,0.624469878099187,0.848888740541083,-5.62171698552106
Planctomycetia,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0878657247151979,-0.189848645886429,0.365580095316825,5.70706019907084,1.51184207707389,0.1320408927597,0.717972354380867,-4.70641036479439
Chlorobia,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0455095862269665,-0.0624389001536359,0.153458072607569,5.36837207149932,0.811276418440875,0.418103180615942,0.844195721086981,-5.43395141564637
Aconoidasida,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0651568261125757,-0.118646178255629,0.248959830480781,5.36169935911187,0.946880719160538,0.344761413275654,0.844195721086981,-5.32699541579615
Halobacteria,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0205994193682235,-0.0670317500344766,0.108230588770924,5.12241339272179,0.313460808505119,0.754234155360869,0.964976051711701,-5.68564972600762
Methanomicrobia,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0173976833283378,-0.136871846115017,0.171667212771693,5.03749393904897,0.405572934183368,0.685459292362948,0.890074006501142,-5.6558387987576
Chlorarachniophyceae,TreatmentGroupGrp1...TreatmentGroupGrp2,-1.37403993724352,-1.44770324009336,-1.30037663439367,4.97960399440828,-1.92706280803349,0.0553063324328257,0.687378703093691,-4.06756948509269
