"group","NPB_F18_1_E6_S66","NPB_F15_2_B2_S76","NPB_F12_2_F9_S40","NPB_F7_9_A12_S34","NPB_F13_6_F11_S56","NPB_F1_9_A3_S9","NPB_F13_3_C11_S53","NPB_F17_12_D6_S65","NPB_F13_8_H11_S58","NPB_F9_6_F5_S8","NPB_F15_6_F2_S80","NPB_F10_11_G7_S25","NPB_F18_4_H6_S69","NPB_F12_7_C10_S45","NPB_F14_8_D1_S70","NPB_F7_2_B11_S27","NPB_F2_12_H4_S24","NPB_F6_3_G9_S16","NPB_F9_10_B6_S12","NPB_F11_2_B8_S28","NPB_F13_4_D11_S54","NPB_F18_6_B7_S71","NPB_F2_6_B4_S18","NPB_F14_4_H12_S66","NPB_F2_11_G4_S23","NPB_F1_2_B2_S2","NPB_F14_10_F1_S72","NPB_F17_3_C5_S56","NPB_F7_11_C12_S36","NPB_F16_7_C4_S48","NPB_F9_2_B5_S4","NPB_F12_6_B10_S44","NPB_F5_3_C8_S4","NPB_F13_1_A11_S51","NPB_F6_11_G10_S24","NPB_F8_2_F12_S39","NPB_F16_3_G3_S89","NPB_F9_5_E5_S7","NPB_F15_8_H2_S82","NPB_F15_12_D3_S86","NPB_F6_7_C10_S20","NPB_F11_8_H8_S34","NPB_F4_7_C7_S43","NPB_F17_7_G5_S60","NPB_F14_6_B1_S68","NPB_F8_5_A4_S42","NPB_F13_12_D12_S62","NPB_F16_12_H4_S53","NPB_F8_10_F4_S47","NPB_F1_7_G2_S7","NPB_F9_7_G5_S9","NPB_F16_4_H3_S90","NPB_F8_11_G4_S1","NPB_F7_4_D11_S29","NPB_F12_12_H10_S50","NPB_F13_7_G11_S57","NPB_F17_2_B5_S55","NPB_F15_10_B3_S84","NPB_F12_10_F10_S48","NPB_F3_10_B6_S34","NPB_F2_4_H3_S16","NPB_F13_2_B11_S52","NPB_F14_3_G12_S65","NPB_F10_6_B7_S20","NPB_F2_9_E4_S21","NPB_F1_12_D3_S12","NPB_F16_5_A4_S91","NPB_F5_1_A8_S2","NPB_F15_5_E2_S79","NPB_F8_12_H4_S2","NPB_F8_6_B4_S43","NPB_F9_12_D6_S14","NPB_F15_11_C3_S85","NPB_F5_2_B8_S3","NPB_F10_3_G6_S17","NPB_F3_8_H5_S32","NPB_F4_11_G7_S47","NPB_F8_8_D4_S45","NPB_F8_3_G12_S40","NPB_F10_7_C7_S21","NPB_F5_10_B9_S11","NPB_F13_11_C12_S61","NPB_F5_9_A9_S10","NPB_F2_1_E3_S13","NPB_F4_2_F6_S38","NPB_F9_11_C6_S13","NPB_F5_4_D8_S5","NPB_F4_6_B7_S42","NPB_F8_1_E12_S38","NPB_F6_9_E10_S22","NPB_F11_1_A8_S27","NPB_F6_2_F9_S15","NPB_F3_1_A5_S25","NPB_F6_6_B10_S19","NPB_F4_12_H7_S1","NPB_F17_1_A5_S54","NPB_F1_3_C2_S3","NPB_F10_10_F7_S24","NPB_F12_4_H9_S42","NPB_F13_9_A12_S59","NPB_F12_8_D10_S46","NPB_F3_5_E5_S29","NPB_F17_10_B6_S63","NPB_F1_8_H2_S8","NPB_F2_8_D4_S20","NPB_F15_4_D2_S78","NPB_F1_4_D2_S4","NPB_F11_10_B9_S36","NPB_F6_12_H10_S25","NPB_F15_1_A2_S75","NPB_F2_7_C4_S19","NPB_F14_2_F12_S64","NPB_F2_10_F4_S22","NPB_F8_7_C4_S44","NPB_F1_10_B3_S10","NPB_F4_1_E6_S37","NPB_F17_9_A6_S62","NPB_F4_3_G6_S39","NPB_F16_6_B4_S92","NPB_F3_2_B5_S26","NPB_F18_9_E7_S74","NPB_F14_12_H1_S74","NPB_F11_12_D9_S38","NPB_F15_3_C2_S77","NPB_F10_9_E7_S23","NPB_F11_5_E8_S31","NPB_F13_5_E11_S55","NPB_F3_7_G5_S31","NPB_F18_11_G7_S76","NPB_F6_5_A10_S18","NPB_F17_11_C6_S64","NPB_F14_9_E1_S71","NPB_F15_7_G2_S81","NPB_F3_4_D5_S28","NPB_F12_1_E9_S39","NPB_F10_8_D7_S22","NPB_F12_11_G10_S49","NPB_F16_10_F4_S51","NPB_F16_2_F3_S88","NPB_F7_10_B12_S35","NPB_F7_1_A11_S26","NPB_F11_4_D8_S30","NPB_F9_1_A5_S3","NPB_F11_6_F8_S32","NPB_F2_3_G3_S15","NPB_F14_5_A1_S67","NPB_F6_10_F10_S23","NPB_F4_5_A7_S41","NPB_F18_7_C7_S72","NPB_F1_5_E2_S5","NPB_F18_8_D7_S73","NPB_F3_11_C6_S35","NPB_F1_1_A2_S1","NPB_F10_12_H7_S26","NPB_F7_6_F11_S31","NPB_F17_4_D5_S57","NPB_F14_1_E12_S63","NPB_F5_6_F8_S7","NPB_F11_11_C9_S37","NPB_F3_6_F5_S30","NPB_F14_11_G1_S73","NPB_F4_8_D7_S44","NPB_F10_1_E6_S15","NPB_F2_2_F3_S14","NPB_F17_8_H5_S61","NPB_F16_8_D4_S49","NPB_F12_5_A10_S43","NPB_F7_7_G11_S32","NPB_F11_9_A9_S35","NPB_F5_7_G8_S8","NPB_F4_9_E7_S45","NPB_F12_3_G9_S41","NPB_F8_9_E4_S46","NPB_F4_4_H6_S40","NPB_F18_10_F7_S75","NPB_F18_3_G6_S68","NPB_F17_5_E5_S58","NPB_F9_9_A6_S11","NPB_F1_6_F2_S6","NPB_F10_5_A7_S19","NPB_F6_8_D10_S21","NPB_F8_4_H12_S41","NPB_F6_4_H9_S17","NPB_F16_9_E4_S50","NPB_F16_11_G4_S52","NPB_F3_12_D6_S36","NPB_F5_5_E8_S6","NPB_F15_9_A3_S83","NPB_F5_12_D9_S13","NPB_F12_9_E10_S47","NPB_F3_3_C5_S27","NPB_F6_1_E9_S14","NPB_F18_5_A7_S70","NPB_F14_7_C1_S69","NPB_F9_3_C5_S5","NPB_F4_10_F7_S46","NPB_F3_9_A6_S33","NPB_F11_3_C8_S29","NPB_F10_2_F6_S16","NPB_F7_3_C11_S28","NPB_F18_12_H7_S77","NPB_F2_5_A4_S17","NPB_F7_12_D12_S37","NPB_F5_8_H8_S9","NPB_F11_7_G8_S33","NPB_F13_10_B12_S60","NPB_F9_8_H5_S10","NPB_F18_2_F6_S67","NPB_F1_11_C3_S11","NPB_F7_8_H11_S33","NPB_F17_6_F5_S59","NPB_F9_4_D5_S6","NPB_F5_11_C9_S12","NPB_F16_1_E3_S87","NPB_F7_5_E11_S30","NPB_F10_4_H6_S18"
"ANT6",124.765137281047,684.352421007225,191.891810487636,449.592811008144,229.069219902684,305.48675938274,346.258185219832,256.015399422522,248.005319148936,498.075035857175,236.976705398343,229.130567730099,96.4634341494639,181.495700590467,453.606501862513,187.368351764086,255.316585336466,129.25436194351,662.166751570725,141.686157543506,246.729733399719,218.154161802681,453.14602960969,373.568483737975,828.599200777622,414.570467439876,465.932302305223,58.1997176879366,159.274029462033,306.562834383545,281.225451688924,686.545096106456,128.295946477765,205.54272517321,166.127237786993,162.878787878788,192.801492373532,505.295346062052,561.426159499454,331.847669984648,123.735893302067,204.17343968548,152.102097862608,318.092105263158,207.475598935226,245.069989232426,246.688375328001,114.24965665714,322.67065949772,825.434068512435,221.934617965679,251.991198438033,174.930347047526,197.773436060014,215.776907065018,604.192574169479,121.608527131783,277.385759027961,223.806373611333,293.154510069386,362.610463427789,198.084697201617,343.931007851718,261.464139725009,217.279467392949,380.408163265306,261.370290845208,157.469282172882,213.140738082421,106.529116329578,350.886301268264,261.801557737894,540.040376850606,97.7181327349079,162.65077750327,253.034054470918,181.866229750799,455.288707204905,466.158717593509,210.593750909991,87.4991297082782,269.92891596852,101.354754898062,306.162169294715,175.513287097439,178.552358350638,98.7078026462223,178.828422118252,726.114210925122,107.383705914426,199.72847535756,205.995475113122,251.43852610463,269.486663004334,132.640770852153,122.037037037037,1011.75194359067,135.58728212315,132.08200581798,333.936979355306,165.110197982817,327.881930594336,385.867682715622,551.520043045467,689.467312348668,220.068415051311,860.863922877271,132.661777267238,175.199415260432,266.376520477625,440.273396424816,194.734886683297,270.252418023119,261.583618701517,779.765082754939,503.330161750714,82.4023422451653,132.128054880663,230.953445303021,283.386674425371,323.283554052785,161.177499271349,220.078754380261,1028.25027355018,272.334036392235,224.223698439672,472.55163224517,307.307307307307,447.663467575567,173.959646910467,287.610412674674,1192.72125723739,461.606175514626,385.555028462998,264.201551872785,154.187417711374,183.216705542597,78.1840884766322,294.586440485,105.430699688037,243.645256996231,135.438972162741,198.831813090094,145.160562872091,244.829194961381,216.581246172195,182.080924855491,116.357545154399,214.33581147426,341.367246070972,204.022185866486,268.043818466354,547.05706602928,186.099889827396,364.73345049795,144.681644448588,547.821830641214,130.406413124534,128.936490899541,426.470588235294,273.425636444841,178.590609718178,153.680062616394,623.40683795266,253.431798436142,381.757271204507,159.08467655931,211.417285808333,138.549205556942,90.996015936255,228.336495888678,328.752000883148,137.158362939547,187.776523357642,120.982757224966,1215.65528866414,233.326548612525,139.945621130075,87.2496070291403,203.641697758219,150,103.738317757009,174.044786046855,114.521088356443,262.104085490529,314.785289115646,116.835213475548,356.934236287191,126.127921209188,347.491761259612,367.306606437041,160.369940465047,108.748124469959,231.805493749747,308.587455988542,116.673681995159,561.202920830131,317.306697029293,0,536.749311294766,58.9101620029455,130.602046482113,143.973844553425,94.4456509935932,207.900631236001,169.817285199469,118.908916455349,154.965034965035,298.799466429524,143.143559674674,153.012001697989,167.221121177803,122.807909317338,523.907243997537,177.520568958304,214.857727040382
"ANT9",112.976544032972,484.41712498652,104.605282973404,159.973790133858,119.510280960603,132.26328824538,159.588400374182,228.264356753288,123.116134751773,297.12387710425,174.014566075499,111.949172697313,79.7567610817731,88.7272400709459,280.477480528276,96.9589257503949,114.464726790771,91.8550974102183,384.190864323315,68.6651073965195,131.218032861087,198.592097350455,192.799461641992,218.140174072377,462.684955178745,233.569312647487,234.68047855267,60.0817981106808,104.215837877431,251.337534181429,110.500130924326,395.67931657631,70.3236157781612,105.898768283295,83.872762213007,132.575757575758,126.467683529024,269.689737470167,296.057205283544,196.404694696182,82.6615858126924,116.810947718595,99.2743597707316,233.059210526316,104.547471162378,85.6791262882633,93.6106983655275,99.7364611558591,162.254134621929,279.524479899891,97.5937110535903,206.371835001705,96.7837918255836,81.0262837763114,123.974531651769,328.388701367916,137.015503875969,185.464699445304,144.010767160161,117.828735826705,105.795959009252,117.66552847443,223.924142961342,127.313266443701,74.4439400817068,182.176870748299,285.314594313228,77.2795861176978,139.840899575333,51.5813764083073,172.958540384187,152.285811039621,339.021342049606,40.5270291288022,87.1384973114373,138.490887689248,102.692846383552,263.260091977517,273.006134969325,109.519233569203,55.2635243333565,123.191165270373,56.7883560009544,99.360031668536,83.2932774840349,82.9427469593592,56.9432422406331,105.146515636543,368.257904525728,82.991362240652,119.944432166198,79.8076923076923,130.760703162118,159.006287004822,61.6907557964469,89.4444444444444,526.939070692461,80.0560567574669,85.5035323452002,126.584570807678,107.76989166978,165.05783805345,285.532848400878,289.4135055152,504.53995157385,155.845462472332,450.500556173526,88.2153692085653,100.327327041027,188.40903173009,221.24079915878,107.849901809883,120.358575135645,158.082325808931,544.313934863855,341.579448144624,170.043917096849,84.6791482063742,161.312982949103,159.44137329066,350.521273598197,88.3772142880275,99.9963874137495,604.396697503233,102.241447109713,133.446624439981,254.097268487675,150.483817150484,196.295631895237,78.7831021437579,155.862971444595,521.91894127378,246.072589382449,268.975332068311,191.732924609637,85.9236361554754,101.716094635122,115.697466999643,351.682131268856,67.3266696377411,123.727046748456,82.4745717344754,97.8289859710887,51.5515064044741,132.704369913431,100.183734648487,111.255439371306,71.0089337735483,150.792537522794,153.162658965958,207.134591596505,92.1439749608764,248.640573648043,81.3441057656996,157.391134544034,204.810291787079,285.168869309838,74.4780014914243,68.1221311288223,240.043843624406,123.671281822242,82.9352404104362,112.088742544061,293.647582439814,223.457862728063,222.856707781331,66.6686980102989,103.639612527038,89.7179935113551,62.1513944223108,99.1777356103732,174.256223436551,90.0774890200576,113.691148201263,148.850481664373,540.560471976401,179.862948639663,57.5776269792309,42.7935190036677,107.497050288593,81.7476383265857,54.2056074766355,84.9161185426059,144.717758310611,238.33957023263,61.0119047619048,41.0967325484892,246.108418653914,64.9853405823916,185.005492493592,207.603990212686,88.5535627363612,67.2581381694827,120.635948056151,210.001790296592,83.9734820582974,282.955418908532,286.202256495187,0,206.501377410468,83.9469808541974,107.202347901959,75.3752414920493,55.2991638614399,153.057761487816,95.0875640134033,57.3641285724077,150.28971028971,118.818240205523,87.346321165122,104.812256396403,83.769818799547,68.9777868144157,322.840139544429,71.5939199553758,117.183506559891
"APH2-DPRIME",189.829686647676,293.00118623962,96.2320412035782,295.141814097164,73.7717783707424,255.810630596304,104.115996258185,1327.07731793391,68.040780141844,278.176190835661,95.3744370934564,105.527808921958,177.372379580733,87.6720325093734,199.966136132746,123.617693522907,185.131634435809,155.778108129254,754.542367125149,79.4154882732871,86.8600914316752,529.166224486186,293.405114401077,115.116811726981,770.169564747813,400.562333684792,140.064196089875,91.5342574830794,125.295027264589,950.184282487219,181.685557176523,354.443896829308,116.701480337844,67.5038491147036,150.981086274906,140.151515151515,126.056183474158,1342.78042959427,163.86930181746,142.574159362155,135.644144804338,95.4523116470722,88.1497585905074,435.142543859649,79.3921916592724,142.716505153053,84.2844045398502,410.378233918563,249.982985094943,721.726888784608,255.58431598121,278.984721232219,134.680407909329,110.111696833413,114.332068078854,167.702966779179,269.347545219638,120.561488245727,88.9887537924584,248.349974614994,344.396963033647,62.7183170454099,100.999699661046,124.45187662579,169.213698491955,305.170068027211,523.456308152775,104.979521448588,80.7464561277588,106.013302565495,246.755173181043,146.122587199458,129.878869448183,118.492678916613,119.546577532335,217.88367090149,106.154699928649,381.297904956566,260.142489610133,107.393494656533,102.311494813061,83.1746636202082,113.497176489302,300.323282971564,118.313534299252,143.57757342035,90.1137628292321,99.7564912856713,420.265895157402,129.767268344477,112.145991854261,129.694570135747,218.708757852505,132.372988260188,91.6892502258356,144.851851851852,447.839450370638,70.2461242007533,75.9107909682782,97.0662803332126,81.7768646494832,269.246110889509,972.982334603395,469.330104923325,829.903147699758,69.4211550070427,399.054505005562,97.9352596388913,132.615120602536,81.3897258490496,417.034700315457,76.0575341011623,224.345364472753,233.5592983437,803.924185798185,277.830637488107,373.719084675245,115.406602829784,310.715882240245,205.004364271167,933.40847187001,56.1870526895301,80.0910371735125,288.570575947478,138.383441175419,124.82620114321,136.242504996669,252.975197419642,352.767064310701,226.702395964691,633.546758891433,342.293906810036,236.186348862405,341.674573055028,146.565763004119,101.808918655905,98.522714650672,147.09240099893,634.542039050492,65.0346979053925,98.1076096543982,73.7085117773019,188.723529097989,82.626736424319,281.789435488051,90.964768075299,260.602714814574,66.396387648087,1024.6177584514,264.202810018326,531.543034994613,186.666666666667,513.713773528533,97.5333578161342,152.821714508885,1071.59504055188,260.79295154185,88.9261744966443,65.244696156569,373.036170990135,134.033050468959,105.916273284903,85.6117243799088,553.105401577989,815.204170286707,340.642606974265,111.42935494683,128.562023887896,53.2401630479993,78.8844621513944,127.767235926629,230.998509687034,104.036702380619,111.677295334574,262.22375131547,1804.67762326169,258.972793269557,203.463796924624,65.9485711982588,110.717816256896,120.074224021592,84.1121495327103,174.303451333974,196.205836282416,436.981597932179,229.644982993197,85.6975993606492,94.425008826267,130.739233155902,461.461003295496,482.589873894222,271.83884374883,499.510731293626,71.6452930943808,311.213224324163,76.423234767968,438.797079169869,188.955594658938,0,426.005509641873,0,88.9981756167209,105.275672462476,135.058095341514,90.6807846331365,47.0063855345514,79.5695976972106,244.195804195804,205.029395780841,106.071496122565,160.267047427932,118.169592298981,143.750317694302,502.031602708804,95.105285176405,102.871017209065
"APH3-DPRIME",184.859688465968,213.954491534563,86.6841360199994,273.518674529626,58.3581855281745,147.266145932559,100.701590271282,1643.56753288418,77.238475177305,249.490450668076,84.8390504253072,86.2637175958958,172.283565370459,88.6823376215173,171.097189299018,116.080832016851,113.621302488102,107.03387841327,307.692307692308,75.5959916743557,83.6916670438601,675.439527397503,232.251009421265,122.995877233165,646.182093098607,339.157503640106,123.504522906332,75.50038003547,118.987547814764,1251.39698014505,145.326001571092,317.233448332512,120.303938485757,45.8044649730562,93.7341964195408,64.3939393939394,110.089981345331,311.605011933174,149.865925116695,150.448175110187,86.8019932580976,93.5999697576834,77.3075076940452,434.320175438597,70.0532386867791,128.841716658976,80.2061269008251,481.682194424854,281.494589260192,550.758642264977,140.830217620554,235.78268819537,131.190997863074,104.324105135105,121.862372964369,175.963759104637,257.49354005168,89.7324629259273,81.1871250313662,167.667964122525,200.01659544455,64.6414694454256,89.2864804565152,97.6217019695281,151.308821304282,243.333333333333,449.606350445702,104.584321333621,61.5467432262695,110.655626442242,225.691611659126,144.361666102269,119.255912324553,122.11433776968,93.9979654120041,163.250395746235,96.5619301815491,377.107818088912,275.875717395607,99.0943769837803,127.758824758059,81.3023610053313,141.493676926748,221.448835521541,104.305431573165,116.760605161673,84.4874489922097,89.4689321185258,369.360060618585,67.0645966654231,98.0330249739526,87.6131221719457,131.07744285488,120.185558200574,79.7952423968684,152.037037037037,470.439341891159,68.3191731628274,72.1360299210417,99.0945309670409,85.0765782592454,254.327881930594,1130.93176307586,362.658057573312,426.906779661017,58.1527936145952,383.388950685947,101.440311036494,103.02856961261,80.7573559498568,361.093585699264,77.2517382304549,175.041283321538,232.371234887134,557.394554191137,245.057617084258,373.333846983589,96.3269972845505,284.91602273453,148.734361361653,1192.35465389312,59.2311927199715,80.3439182110473,288.76952153586,133.05687627355,92.3837478757917,112.191872085276,219.942164386609,270.472688133465,115.16393442623,822.311539000795,425.971877584781,118.228602383532,309.77229601518,130.13698630137,77.5087297498426,91.441741641675,94.2383160899037,587.351283656857,66.753676704654,89.4475182423222,70.2957708779443,112.924734624207,71.5542125202959,157.793789850189,66.7891564323244,91.5438072351757,60.4729073606526,1469.21026791976,227.133892375187,580.94250029927,182.222222222222,320.346579025993,74.5501285347044,153.563757078696,1433.85848792766,274.98776309349,79.7601292567736,63.7146315284661,320.423821702594,105.850826261724,85.168329705741,64.1818034600955,386.202710904309,983.579496090356,270.671539515761,97.6873152746884,121.461487820935,60.352716080193,88.871181938911,135.694707990723,203.289727879892,102.358239852295,107.985231745644,248.988100056666,1771.07037505268,219.41787095461,81.1570361231064,82.0503002700415,101.82084887911,106.140350877193,85.9813084112149,126.782942871924,95.3472181934211,420.547046796034,250.797193877551,91.507085113577,77.5106717591552,123.366827018872,278.103258879531,243.271221532091,90.6878346500917,632.265640289647,61.6529794894615,189.234349823954,72.0298852993791,414.681014604151,153.814304937377,0,372.341597796143,491.163475699558,99.8651542793686,91.2765641254273,133.456401346509,95.4320233489445,45.0780805462477,101.70653142348,211.468531468531,157.946741761771,95.5929638736524,197.198317446841,87.5920158550396,148.147206831698,450.482249127847,93.9617905452517,90.5179758050775
"APH3-PRIME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03837977927259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APH4",1.30310927935026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.919735399200538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67343355645781,0,0,0,0,0,0,0,0,0,0,1.07642626480086,0,0,0,0.929742461338209,0,0,0,0,1.64728682170543,0,0,0,0,0,0,0,0,0,1.30132084065326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54012238771504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44880123381783,0,2.03141928494041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82353766306635,0,0.79805275128686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33570792520036,3.47661188369153,4.00298527715584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23876123876124,0,0,0,0,0,0,0,0
"APH6",7.45499727256197,0,0,0,0,0,0,24.5428296438884,0,0,0,0,4.16066570651304,0,0,0,0,0,0,0,0,11.4259436131451,0,0,4.42812398747165,0,0,0,0,1.01058138152419,0,0,0,0,0,0,9.9308679907824,11.9331742243437,0,0,0,0,0,0,0,0,0,2.7838610296574,16.4023684747839,0,0,7.65487959835126,0,0,0,0,14.1149870801034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.890009641771119,0,0,0,1.27888388315652,0,0,0,0,11.9973209865758,2.52384599317691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04110379863757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2928524466986,0,0,0,0,0,0,0,5.42649564983407,0,25.7980090666916,0,1.96370530877573,11.8595825426945,0,0,0,1.05244381020335,3.92781920646667,0,0,0,0,0,0,0,6.49477170877444,0,15.5702062000281,0,0,0,0,0,0,14.5427426121003,1.27263827704356,0,0,0,0,0,0,9.10378312765527,0,0,0,0,0,0,0,0,0,0,22.2415607544726,22.0185419300464,32.8380487142954,0,18.0363548426101,0,0,0,0,16.3311481116204,0,0,0,0,0,1.00695715854998,0,0,0,0,0,0,0,1.65614325639168,0,0,344.624447717231,21.8529388434996,0,0,0,0,0,2.83716283716284,0,0,36.1594566433836,0,0,17.3199261235379,0,3.15215539274152
"ARIR",5.75792472271047,1.18623962040332,0.0903587241348152,0.655246653561734,0,0,0,3.36862367661213,0,0,0,0,6.08097295567291,0,0.169319336268202,0,0.421712151334418,0,0.424520292069961,0,0,3.07757614347872,0.50471063257066,0,1.08003024084674,0,0,3.94513011690615,0,2.31839258114374,0.187034751056746,0,0,0,0,0,2.44156699220893,1.34248210023866,0.695203098619525,0,0,0,0,0,0,0,0,2.6725065884711,0,0,0,2.32435615334552,0,0,0,0,2.77777777777778,0,0,0,0,0,0,0,0.100872547536188,0,2.40744355520854,0,0,0,0.890009641771119,0,0,0,0,0,0,0.817577925396014,0.494755590738175,0,0,0,0,0,0,0,0,0,0.826617069642488,0,0,0,0,0,0,1.88888888888889,0.542397396492497,0,0,0,0,1.2764260071799,1.96282184505253,1.61420500403551,0,0,0.278086763070078,0,0,0,0,0,0,0.489202599762387,0.667378537106247,0.951474785918173,2.85075891825256,0,2.49058049683888,0,0,0,0,1.59156470705262,0,0,0,0,1.52480043053189,0,3.59863532270879,0.551419906258616,2.03141928494041,1.0673624288425,0,0,0.0833055648117294,4.62004994648591,3.52934479421643,0,0,0,0,0,0,0,0,0,2.94571468649179,0,2.35425561629624,0,0,0,0,1.30511792672695,0,0,0,0.730727073438071,0,0,0,0.809225166902691,0.868809730668983,0,0,0,0,0,0,0.386377435557763,0,0,4.10831376993443,1.47492625368732,1.42479136983513,0,6.4286002176454,0,0,0,0,4.32209781284446,1.89035916824197,1.32865646258503,0,0,0,0,1.59984942593638,0,4.30556461608716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83816183816184,0,0,4.55369891560221,0,0,3.03714344346399,0,0
"ARSA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55018653402025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33044636908728,0,2.06296528836667,0,0,12.9583677970775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARSB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28697054081782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.5537848605578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
